iterations,f=3,f=4,f=5,f=6,f=7,f=8,f=9,f=10
176,3.33,4.54,5.91,7.43,9.48,11.0,12.96,15.31
177,3.33,4.54,5.91,7.43,9.48,11.0,13.02,15.53
178,3.33,4.54,5.91,7.43,9.48,11.07,13.02,15.53
179,3.33,4.54,5.91,7.47,9.48,11.07,13.02,15.62
180,3.33,4.54,5.95,7.47,9.48,11.07,13.02,15.62
181,3.33,4.54,5.95,7.47,9.55,11.07,13.02,15.62
182,3.33,4.54,5.95,7.47,9.55,11.13,13.02,15.62
183,3.33,4.57,5.95,7.47,9.61,11.2,13.02,15.76
184,3.33,4.57,6.0,7.53,9.61,11.2,13.16,15.85
185,3.33,4.57,6.0,7.53,9.61,11.27,13.16,15.91
186,3.33,4.61,6.0,7.53,9.68,11.35,13.16,15.91
187,3.33,4.61,6.0,7.53,9.84,11.35,13.24,15.91
188,3.33,4.65,6.0,7.53,9.84,11.35,13.24,15.91
189,3.33,4.65,6.0,7.59,9.91,11.35,13.24,15.97
190,3.33,4.65,6.0,7.65,9.91,11.35,13.24,15.97
191,3.33,4.68,6.0,7.65,9.98,11.42,13.32,15.97
192,3.33,4.68,6.0,7.65,9.98,11.42,13.48,15.97
193,3.33,4.76,6.0,7.65,9.98,11.48,13.57,15.97
194,3.33,4.76,6.0,7.65,9.98,11.56,13.57,16.14
195,3.33,4.8,6.1,7.65,9.98,11.72,13.66,16.23
196,3.33,4.8,6.1,7.65,9.98,11.72,13.66,16.23
197,3.36,4.8,6.1,7.65,9.98,11.72,13.66,16.36
198,3.36,4.8,6.1,7.65,9.98,11.72,13.66,16.36
199,3.36,4.8,6.14,7.65,10.05,11.72,13.66,16.5
200,3.36,4.8,6.14,7.65,10.11,11.72,13.66,16.5
201,3.36,4.8,6.14,7.65,10.16,11.72,13.66,16.5
202,3.36,4.8,6.14,7.71,10.16,11.72,13.75,16.5
203,3.36,4.84,6.14,7.71,10.16,11.72,13.75,16.5
204,3.36,4.84,6.14,7.71,10.16,11.8,13.75,16.5
205,3.36,4.84,6.14,7.71,10.16,11.86,13.75,16.5
206,3.36,4.84,6.14,7.77,10.16,11.94,13.75,16.5
207,3.36,4.84,6.14,7.77,10.16,11.94,13.75,16.5
208,3.36,4.84,6.14,7.77,10.16,12.02,13.75,16.5
209,3.36,4.84,6.14,7.83,10.21,12.1,13.86,16.5
210,3.36,4.84,6.14,7.83,10.21,12.18,13.97,16.59
211,3.36,4.84,6.14,7.83,10.21,12.18,13.97,16.69
212,3.36,4.84,6.14,7.83,10.21,12.18,14.04,16.69
213,3.36,4.84,6.14,7.83,10.21,12.18,14.13,16.77
214,3.36,4.84,6.14,7.83,10.21,12.24,14.21,16.77
215,3.39,4.84,6.14,7.83,10.26,12.24,14.29,16.91
216,3.39,4.84,6.14,7.83,10.26,12.24,14.33,17.0
217,3.39,4.84,6.14,7.83,10.4,12.24,14.33,17.0
218,3.39,4.84,6.14,7.83,10.4,12.24,14.4,17.1
219,3.39,4.84,6.14,7.88,10.4,12.31,14.53,17.1
220,3.39,4.84,6.14,7.88,10.4,12.31,14.53,17.1
221,3.39,4.84,6.14,7.88,10.45,12.38,14.53,17.1
222,3.39,4.84,6.14,7.88,10.52,12.52,14.53,17.18
223,3.39,4.84,6.19,7.88,10.52,12.52,14.53,17.27
224,3.39,4.84,6.19,7.88,10.52,12.6,14.61,17.27
225,3.39,4.84,6.19,7.88,10.52,12.6,14.7,17.27
226,3.39,4.88,6.19,7.88,10.52,12.6,14.7,17.41
227,3.39,4.88,6.19,7.88,10.52,12.6,14.7,17.49
228,3.39,4.88,6.19,7.88,10.59,12.6,14.7,17.49
229,3.42,4.88,6.19,7.88,10.59,12.67,14.7,17.49
