"iterations","avg_extended_size","fit"
296,21.02,18.8605541817606
297,21.12,18.9215993922924
298,21.12,18.9832032673619
299,21.12,19.0453700207364
300,21.12,19.1081038800437
301,21.12,19.1714090864245
302,21.28,19.235289894176
303,21.28,19.2997505703844
304,21.35,19.3647953945485
305,21.52,19.430428658192
306,21.61,19.4966546644662
307,21.61,19.563477727742
308,21.7,19.6309021731912
309,21.86,19.6989323363574
310,21.94,19.7675725627158
311,22.04,19.8368272072224
312,22.13,19.9067006338513
313,22.13,19.9771972151223
314,22.22,20.0483213316154
315,22.22,20.1200773714754
316,22.22,20.1924697299043
317,22.22,20.2655028086417
318,22.22,20.3391810154345
319,22.22,20.4135087634935
320,22.31,20.4884904709388
321,22.46,20.5641305602331
322,22.46,20.6404334576026
323,22.58,20.7174035924456
324,22.89,20.7950453967285
